"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SERINC2",1.83261697652128e-21,3.45503405668255,0.212,0.211,3.66523395304256e-18
"ANGPTL2",7.77490325419498e-95,3.45233301414528,0.862,0.961,1.554980650839e-91
"PYCARD",1.06830699807312e-137,3.4377250090459,0.893,0.068,2.13661399614623e-134
"SOX7",9.1190887551446e-167,3.43431688961902,0.716,0.007,1.82381775102892e-163
"SERPINE1",1.02276559500779e-97,3.4239326237251,0.87,0.964,2.04553119001558e-94
"ZEB2",7.08360041106953e-134,3.42305593093323,0.954,0.961,1.4167200822139e-130
"SLC30A8",1.39559242840696e-11,3.42171687048259,0.382,0.961,2.79118485681393e-08
"AIF1",1.26941214112354e-100,3.4198145521161,0.89,0.964,2.53882428224709e-97
"HIST1H2AH",5.63936686975598e-113,3.41490247910343,0.788,0,1.1278733739512e-109
"C15orf48",1.04543483094165e-07,3.40258359184166,0.497,0.158,0.00020908696618833
"CAV1",2.80797888791744e-95,3.38064690065731,0.867,0.964,5.61595777583488e-92
"SRP9",4.15760952656755e-70,3.37056255367401,0.853,0.971,8.3152190531351e-67
"LRRIQ1",1.2589892743297e-49,3.36808823218856,0.775,0.961,2.51797854865939e-46
"LMCD1",2.80146199319636e-46,3.36699501814292,0.801,0.971,5.60292398639273e-43
"VIM",8.53451088511184e-92,3.3561799437681,0.951,0.889,1.70690217702237e-88
"TCF4",1.83596583691136e-129,3.35019543276067,0.971,0.964,3.67193167382271e-126
"MEIS2",9.60332629027339e-61,3.34923053568834,0.851,0.968,1.92066525805468e-57
"TIMP1",1.42048692686469e-49,3.34266619913561,0.789,0.975,2.84097385372938e-46
"JSRP1",3.47252018523668e-51,3.33217130241888,0.243,0.961,6.94504037047335e-48
"BMP2",3.74360173256622e-98,3.3257409920773,0.866,0.961,7.48720346513243e-95
"FAM183A",3.04295716693936e-126,3.32488660136881,0.068,0.907,6.08591433387872e-123
"EGR3",1.10169446846633e-98,3.31724117747446,0.867,0.961,2.20338893693265e-95
"GRAMD4",1.53590300889771e-26,3.30787273715504,0.176,0.039,3.07180601779543e-23
"LST1",2.87482008591169e-14,3.30605331746588,0.667,0.961,5.74964017182338e-11
"ITGA10",2.96194416520764e-86,3.29323591885364,0.712,0,5.92388833041528e-83
"PTPRE",6.19271147167352e-96,3.2866867043002,0.907,0.961,1.2385422943347e-92
"MIR7-3HG",1.75786965645574e-96,3.27684157942494,0.864,0.961,3.51573931291149e-93
"PDE10A",1.95455098502458e-91,3.2746128146801,0.851,0.928,3.90910197004916e-88
"IL2RA",4.28892154004124e-80,3.2743170169898,0.648,0,8.57784308008247e-77
"NEFM",1.5620650769336e-79,3.27062224538309,0.852,0.964,3.1241301538672e-76
"IGFN1",6.81464765176146e-133,3.26806537539146,0.864,0.491,1.36292953035229e-129
"TNFAIP3",3.37280453664198e-102,3.26268295497443,0.882,0.964,6.74560907328395e-99
"B2M",6.23387761819594e-138,3.25005419366509,0.997,0.982,1.24677552363919e-134
"MEDAG",3.57313330187022e-75,3.24774719093809,0.863,0.961,7.14626660374044e-72
"PEMT",3.41964953487961e-06,3.23525928454845,0.506,0.254,0.00683929906975921
"HBB",5.24184696061516e-62,3.23139672542621,0.873,0.961,1.04836939212303e-58
"BCL2A1",7.21025540765432e-93,3.22860037236256,0.86,0.961,1.44205108153086e-89
"TUBB3",2.02270931009505e-101,3.22305678081179,0.873,0.964,4.0454186201901e-98
"ELAVL4",1.43396821011884e-93,3.22194119105589,0.86,0.961,2.86793642023767e-90
"BHLHE40",2.66342916907754e-70,3.20472674754279,0.74,0.237,5.32685833815507e-67
"KIF25-AS1",4.47462302702145e-48,3.20184749559234,0.749,0.961,8.94924605404291e-45
"ABRACL",2.58966448903944e-15,3.19842856176482,0.643,0.405,5.17932897807887e-12
"FSCN1",5.35520770316209e-162,3.19587031514951,0.867,0.025,1.07104154063242e-158
"HIST1H3B",7.36360667713765e-98,3.18983720183791,0.866,0.961,1.47272133542753e-94
"PMEPA1",8.9267811023837e-102,3.18955459308875,0.882,0.964,1.78535622047674e-98
"MT-ND6",2.23063849193871e-42,3.17236326460983,0.817,0.964,4.46127698387743e-39
"SETX",2.2474516610619e-72,3.15204822910946,0.915,0.971,4.4949033221238e-69
"GPX4",1.78288746512009e-101,3.14318434961004,0.89,0.706,3.56577493024017e-98
"IL33",1.27934202973624e-113,3.13826483264578,0.791,0,2.55868405947247e-110
"FNIP2",8.13121930757238e-14,3.1378206642065,0.553,0.219,1.62624386151448e-10
"CD83",3.66751432697503e-101,3.13680459983335,0.887,0.964,7.33502865395006e-98
"CD109",5.99150624270205e-99,3.13588119545977,0.87,0.961,1.19830124854041e-95
"ADAM19",1.71582559814318e-17,3.13215980199439,0.81,0.961,3.43165119628636e-14
"MAGEH1",2.11783585709319e-06,3.13195295731905,0.644,0.971,0.00423567171418639
"KITLG",1.46662678638364e-96,3.11461951938015,0.866,0.961,2.93325357276728e-93
"FABP4",2.62469731871358e-95,3.1041928674684,0.717,0,5.24939463742717e-92
"CCL8",3.703343468089e-100,3.0981783799238,0.737,0,7.40668693617801e-97
"IKZF4",2.06380613802914e-21,3.09719223622516,0.749,0.961,4.12761227605829e-18
"ITGA1",1.64857323454301e-74,3.09240874513244,0.858,0.964,3.29714646908602e-71
"SMOC1",1.09192890710902e-20,3.08700603162215,0.331,0.889,2.18385781421803e-17
"RASGEF1B",2.02831813706114e-25,3.08604016631257,0.44,0.961,4.05663627412228e-22
"EMP1",8.60306129115923e-131,3.08279903825065,0.867,0.122,1.72061225823185e-127
"IRF1",6.39526942127688e-129,3.07733982561455,0.935,0.964,1.27905388425537e-125
"KCNMB2",2.218461464179e-38,3.07200937920707,0.299,0.961,4.436922928358e-35
"IGF1",4.25304531664396e-52,3.0694138948719,0.754,0.835,8.50609063328792e-49
"TUBA1B",5.64555718936263e-85,3.06220387356592,0.882,0.986,1.12911143787253e-81
"SLC43A2",1.11209466940236e-19,3.0603371210476,0.246,0.075,2.22418933880472e-16
"SGK1",7.10557469216606e-90,3.06020838470354,0.87,0.961,1.42111493843321e-86
"PFN2",7.74856468548184e-15,3.05381420645859,0.578,0.333,1.54971293709637e-11
"KCNE4",1.17100594446303e-94,3.02577698245089,0.866,0.961,2.34201188892607e-91
"CREM",2.40453680537498e-92,3.01518267363689,0.888,0.584,4.80907361074996e-89
"CEBPB",1.11564552921486e-118,3.00774999413086,0.875,0.366,2.23129105842972e-115
"LINC00473",4.16848857497491e-100,3.00543722770209,0.125,0.961,8.33697714994982e-97
"DUSP4",3.581379004762e-20,2.99962106479011,0.429,0.405,7.162758009524e-17
"PRRX1",8.39622783809379e-94,2.99299082454131,0.866,0.961,1.67924556761876e-90
"TRIM38",1.52865715286406e-17,2.97186089692543,0.686,0.968,3.05731430572811e-14
"IL3RA",1.09992108615563e-61,2.96964541105976,0.867,0.961,2.19984217231126e-58
"RAB31",5.38815362665864e-48,2.96834719519902,0.439,0.226,1.07763072533173e-44
"CYBB",3.0633478485546e-24,2.96347650758978,0.724,0.961,6.12669569710919e-21
"HBG1",7.58266506907139e-57,2.94154009163413,0.871,0.961,1.51653301381428e-53
"MFAP5",2.57201188937052e-96,2.9356971561841,0.864,0.961,5.14402377874104e-93
"ATP2A3",6.03007934640767e-15,2.92050792575154,0.376,0.925,1.20601586928153e-11
"UBE2L6",1.80805195965254e-10,2.91878542650772,0.704,0.964,3.61610391930509e-07
"PIPOX",2.51839182151766e-09,2.91289279981196,0.636,0.961,5.03678364303531e-06
