"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COX6A2",6.2731445435191e-120,0.492453830332321,0.012,0.835,1.25462890870382e-116
"FAM110D",0.0130658489420603,0.491132091954369,0.022,0,1
"EMCN",0.0156023172442799,0.485694053304941,0.021,0,1
"LAD1",7.13336447811877e-87,0.484082653655459,0.171,0.964,1.42667289562375e-83
"CTGF",1.88084172124459e-178,0.482421780199157,0.048,0.961,3.76168344248917e-175
"PNOC",1.82621867921317e-235,0.47908492073749,0.005,0.961,3.65243735842633e-232
"IL33",0.0130658489420603,0.476883973951079,0.022,0,1
"SEC61G",0.000669396245485821,0.471099633458969,0.792,0.996,1
"HLA-DQB1",1.24679562283035e-208,0.468181845596502,0.03,0.961,2.4935912456607e-205
"CD53",2.92491233643349e-223,0.46043283763664,0.025,0.961,5.84982467286697e-220
"ANK1",1.84219786462346e-204,0.458872616486425,0.028,0.961,3.68439572924692e-201
"TMED3",0.000910250292293421,0.453974312773192,0.368,0.835,1
"C1QBP",3.64164781752198e-10,0.45280932183191,0.404,0.975,7.28329563504396e-07
"OBSCN",9.8001749670521e-180,0.447039826526459,0.028,0.95,1.96003499341042e-176
"RAB11FIP1",0.473417962635647,0.446905196752228,0.703,0.968,1
"RARRES3",2.36064418800208e-212,0.436245738900885,0.017,0.961,4.72128837600417e-209
"LBH",3.7541289348054e-26,0.435767043311185,0.311,0.978,7.50825786961081e-23
"RAN",2.54339140974898e-09,0.435186912077786,0.925,0.993,5.08678281949796e-06
"TMEM205",2.31596820093309e-14,0.432684679291683,0.379,0.996,4.63193640186617e-11
"RPS11",7.04479277465349e-18,0.42569751118873,0.997,1,1.4089585549307e-14
"SRGN",8.3498524865782e-207,0.422876173543983,0.037,0.961,1.66997049731564e-203
"TCL1A",8.02026125103573e-225,0.419016277662264,0.024,0.961,1.60405225020715e-221
"PFDN5",5.26634761425852e-09,0.418132003627756,0.955,1,1.0532695228517e-05
"ZNF704",3.41540919482548e-73,0.417654857675299,0.182,0.975,6.83081838965095e-70
"PRR13",2.00043424326502e-37,0.417343974566905,0.278,0.975,4.00086848653004e-34
"ENG",5.15535098476811e-193,0.416007472577825,0.045,0.961,1.03107019695362e-189
"HMMR",5.23970699392113e-212,0.413134388592171,0.027,0.961,1.04794139878423e-208
"RPL6",9.02777956238436e-16,0.40057494922543,0.993,1,1.80555591247687e-12
"TMED10",0.0254852135617269,0.396044806026639,0.776,0.993,1
"RGS6",5.15846086745706e-224,0.393192094404282,0.008,0.961,1.03169217349141e-220
"KRT17",6.11310645784334e-189,0.392294140327955,0.051,0.961,1.22262129156867e-185
"RGS16",3.39219145466023e-63,0.383627510879434,0.2,0.971,6.78438290932047e-60
"TOMM7",0.245124287200584,0.382701103927122,0.845,1,1
"CPA3",3.6102116203632e-227,0.374747057557149,0.021,0.961,7.22042324072639e-224
"SMCO4",2.83321574845174e-36,0.371614232083853,0.283,0.975,5.66643149690347e-33
"CXCL14",6.64057790122024e-209,0.371011034206251,0.024,0.961,1.32811558024405e-205
"TRIM16L",2.66785995048413e-190,0.370813923913661,0.039,0.964,5.33571990096827e-187
"BIRC5",4.35425318589381e-211,0.368257412527999,0.023,0.964,8.70850637178762e-208
"FAP",8.16252401597354e-183,0.36488327192919,0.039,0.964,1.63250480319471e-179
"SFRP4",0.0156023172442799,0.363977239721118,0.021,0,1
"SPARCL1",1.71076574972011e-191,0.356781169713792,0.037,0.961,3.42153149944022e-188
"C5AR1",1.915202301153e-207,0.356747845744638,0.025,0.961,3.83040460230599e-204
"ERBB4",3.24144527659703e-224,0.346210329447208,0.013,0.961,6.48289055319407e-221
"ADARB2",3.63092450408073e-216,0.345805119778086,0.015,0.961,7.26184900816146e-213
"CALCRL",2.17521159018726e-204,0.345562848621178,0.03,0.961,4.35042318037451e-201
"CST7",2.33265544538414e-213,0.344038054239356,0.022,0.961,4.66531089076828e-210
"COL8A1",0.261471806254085,0.34022333953597,0.011,0.004,1
"TAC1",4.32049831439839e-169,0.330991925065285,0.051,0.961,8.64099662879678e-166
"IGFN1",0.989056182014793,0.328226070617663,0.021,0.491,1
"CD68",2.06254448023022e-17,0.326197164501036,0.082,0.667,4.12508896046043e-14
"MKNK2",0.0113066216909689,0.325485367330494,0.44,0.849,1
"COL1A1",3.18611005430853e-165,0.316506924312223,0.074,0.964,6.37222010861706e-162
"CDH5",0.0156023172442799,0.313333030437365,0.021,0,1
"CDH4",3.15124265784502e-222,0.309427945687153,0.012,0.961,6.30248531569004e-219
"PLP2",0.859740490081157,0.307640616503939,0.741,0.996,1
"CLEC14A",0.0266830642719207,0.305854910605881,0.017,0,1
"EIF3K",0.130909848184892,0.300777668918721,0.754,0.971,1
"ARC",7.21591304030154e-26,0.29986185154505,0.408,0.982,1.44318260806031e-22
"NDUFB7",0.591080644126226,0.288562279749326,0.646,0.989,1
"MIS18A",2.3463484893826e-111,0.286495446672023,0.121,0.961,4.6926969787652e-108
"SLC5A7",1.71571323069752e-197,0.286393465653931,0.002,0.817,3.43142646139505e-194
"RPL23",0.00825527815141934,0.284283970257688,0.982,1,1
"ADAMTS1",2.90432535513524e-113,0.279474132223339,0.129,0.968,5.80865071027048e-110
"KDELR2",0.67936961125098,0.277316527811155,0.64,0.993,1
"KRT18",0.275208940930717,0.274821396882271,0.882,0.996,1
"OST4",0.604547553323646,0.270129990199827,0.699,0.993,1
"H1F0",5.59542847863147e-05,0.265365845051899,0.248,0.509,0.111908569572629
"CA2",7.9381740010166e-136,0.25710711756921,0.104,0.968,1.58763480020332e-132
"LYVE1",5.43350786701376e-207,0.253271847673672,0.025,0.961,1.08670157340275e-203
"SLC25A5",0.643938208975581,0.251059261278903,0.697,0.978,1
"RPL36AL",0.702582911213721,0.246852573731394,0.867,1,1
"RSPO3",5.72346403036345e-210,0.246388261628034,0.023,0.961,1.14469280607269e-206
"C4orf3",0.00610269814780864,0.244087762446938,0.386,0.828,1
"CSMD3",2.54230454827142e-225,0.239085162123997,0.014,0.961,5.08460909654283e-222
"RPL24",2.1614607450234e-07,0.238656010272932,0.995,1,0.00043229214900468
"KLF2",1.30108479121483e-92,0.23020110569497,0.157,0.971,2.60216958242967e-89
"BTG2",8.97531912107146e-20,0.226501793575574,0.629,0.993,1.79506382421429e-16
"PRSS22",4.63768869994597e-108,0.224888522630758,0.121,0.961,9.27537739989194e-105
"TNFSF10",1.79359091259368e-194,0.222499123004314,0.03,0.964,3.58718182518736e-191
"HSPB6",3.07091741881959e-192,0.217194475023591,0.039,0.964,6.14183483763917e-189
"FTH1",0.00246087548474825,0.216801248447489,0.998,1,1
"CXCL10",7.81226604330877e-92,0.212562308162127,0.002,0.419,1.56245320866175e-88
"SNHG8",0.339067909883202,0.205623043029864,0.763,0.986,1
"APLN",1.39030712335472e-223,0.202138981984421,0.022,0.961,2.78061424670943e-220
"C11orf96",8.3094563811944e-72,0.202014997289764,0.201,0.978,1.66189127623888e-68
