"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TIMP2",3.2795596948408e-15,-0.954460235972378,0.793,0.341,6.55911938968159e-12
"LMNA",4.28832692345015e-37,-0.954503192383661,0.867,0.789,8.57665384690029e-34
"CKB",7.26431766388269e-89,-0.956587496605928,0.73,0.797,1.45286353277654e-85
"IL1R2",3.64598369482547e-150,-0.960245247297491,0.51,0.025,7.29196738965095e-147
"CHODL",0,-0.960761159497907,0.858,0.036,0
"DAD1",1.91694025664782e-38,-0.961681678540035,0.745,0.659,3.83388051329564e-35
"ANXA5",2.0356448099977e-37,-0.962380462196422,0.907,0.879,4.0712896199954e-34
"UBE2M",2.77054351216166e-31,-0.963165574678344,0.692,0.597,5.54108702432333e-28
"ARL4D",5.12256562474203e-72,-0.963626520760373,0.285,0.125,1.02451312494841e-68
"F10",4.72127537582703e-12,-0.963723602947472,0.582,0.399,9.44255075165407e-09
"NDUFB11",3.36406489318816e-86,-0.968300975697916,0.849,0.853,6.72812978637631e-83
"HSPA8",3.05016887301865e-10,-0.969689710937619,0.927,0.853,6.10033774603729e-07
"NUDT9",2.37518615932421e-57,-0.977922770664623,0.372,0.275,4.75037231864842e-54
"AKAP12",1.97904333992486e-06,-0.978402399099444,0.923,0.612,0.00395808667984971
"SLC25A4",7.54141090862825e-38,-0.978992152444399,0.605,0.554,1.50828218172565e-34
"UQCRB",7.18484023207568e-137,-0.983446175065497,0.94,0.93,1.43696804641514e-133
"KIT",9.47465302252138e-33,-0.98444358617169,0.15,0.007,1.89493060450428e-29
"RASGEF1B",4.79293193684288e-30,-0.985378615437695,0.44,0.26,9.58586387368576e-27
"VIM",0.0129966374196151,-0.986941297385965,0.951,0.773,1
"LAPTM4B",1.81620386340171e-13,-0.991318270078199,0.497,0.282,3.63240772680342e-10
"C19orf70",1.77148283699157e-11,-0.991887546566337,0.444,0.17,3.54296567398315e-08
"MZT2B",5.75856912175095e-57,-0.993119460595659,0.826,0.757,1.15171382435019e-53
"CAMK2N2",1.96187209007594e-80,-0.99333756123531,0.312,0.227,3.92374418015188e-77
"YWHAG",5.50090519361598e-78,-0.994348101965418,0.892,0.853,1.1001810387232e-74
"SV2C",3.61047375661481e-287,-0.996175867864401,0.834,0.076,7.22094751322963e-284
"MRPS33",4.37376494337481e-46,-0.99649968557417,0.463,0.391,8.74752988674962e-43
"CAPS",1.72106447338677e-52,-0.99696154244407,0.291,0.054,3.44212894677353e-49
"ARL6IP1",5.50252402849402e-67,-0.997466616987911,0.8,0.799,1.1005048056988e-63
"TMEM99",1.30945863131385e-101,-1.00213551232891,0.744,0.124,2.61891726262771e-98
"CALM3",4.1839415729373e-35,-1.00851660098395,0.676,0.587,8.3678831458746e-32
"MANF",9.35138992248483e-31,-1.01036180201089,0.629,0.548,1.87027798449697e-27
"PPP1R14B",1.51344748294847e-45,-1.01181307748404,0.665,0.63,3.02689496589694e-42
"SLC7A2",4.84162517297485e-17,-1.01329735356848,0.631,0.52,9.6832503459497e-14
"PACSIN2",1.43004549996857e-14,-1.01363559245451,0.769,0.328,2.86009099993714e-11
"ID2",9.62598645679844e-21,-1.01696312575985,0.879,0.699,1.92519729135969e-17
"DCTN3",5.58467917205149e-55,-1.02083860960992,0.711,0.69,1.1169358344103e-51
"PGM2L1",2.83473846457317e-119,-1.02112569362374,0.877,0.225,5.66947692914634e-116
"MRC1",1.12784793855519e-305,-1.02559972861654,0.76,0.027,2.25569587711037e-302
"TIMP1",8.95635147439223e-34,-1.02633513866333,0.789,0.715,1.79127029487845e-30
"C5orf38",8.69117302670094e-05,-1.02977806657495,0.54,0.273,0.173823460534019
"PTPRK",1.97684170175135e-63,-1.03446924149115,0.838,0.264,3.9536834035027e-60
"NDUFB2",4.36922618233499e-81,-1.03680377831448,0.863,0.821,8.73845236466998e-78
"MINOS1",0.000741646122290922,-1.0376447831868,0.54,0.25,1
"NDUFC1",2.2901049587669e-42,-1.04071891851422,0.771,0.688,4.5802099175338e-39
"IGFBP2",4.24144016528877e-15,-1.04527631254617,0.485,0.299,8.48288033057753e-12
"MDK",1.04505686767339e-22,-1.0538391606668,0.873,0.745,2.09011373534678e-19
"VMP1",7.82401151541087e-09,-1.0554029858331,0.89,0.638,1.56480230308217e-05
