"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD96",1.79393702643106e-83,1.59413330098417,0.616,0.014,3.58787405286213e-80
"PTPRE",3.16112025627761e-307,1.58658031364561,0.907,0.088,6.32224051255522e-304
"MACC1",1.96526880743738e-25,1.58277465393769,0.343,0.047,3.93053761487476e-22
"KIAA0040",6.35869304728702e-228,1.58241841148852,0.864,0.116,1.2717386094574e-224
"CCL13",2.89993071108189e-183,1.58003325088065,0.55,0.018,5.79986142216379e-180
"PI3",1.61498830081236e-39,1.5778786288924,0.162,0,3.22997660162471e-36
"CRABP1",2.42262227746281e-56,1.56007132446744,0.235,0.007,4.84524455492563e-53
"NEAT1",2.61208223349716e-11,1.5464366543177,0.662,0.368,5.22416446699431e-08
"TNFRSF14",1.30075413068811e-43,1.54284201205502,0.312,0.034,2.60150826137621e-40
"TFPI",5.17517853948682e-252,1.54048589539537,0.869,0.133,1.03503570789736e-248
"APLNR",0,1.53828253913369,0.794,0.013,0
"CXCL5",6.74256274271676e-302,1.53658838906725,0.753,0.027,1.34851254854335e-298
"HIST1H1C",3.22701570833213e-07,1.5322981568224,0.47,0.165,0.000645403141666426
"AQP1",2.53802388077983e-292,1.52295144702583,0.816,0.024,5.07604776155967e-289
"CD83",1.37577234602685e-286,1.52178826535684,0.887,0.108,2.7515446920537e-283
"GPR183",0,1.51264119078594,0.865,0.027,0
"ANPEP",0,1.50998408451259,0.857,0.005,0
"CDKN2A",2.4742520955281e-207,1.49653657937947,0.124,0.012,4.94850419105619e-204
"SYT1",0,1.4892961286708,0.867,0.041,0
"CLC",0,1.48308786510526,0.778,0.002,0
"PAPPA2",5.33720883422609e-30,1.48184866437665,0.328,0.04,1.06744176684522e-26
"COTL1",9.54063818719184e-13,1.47094144178212,0.567,0.121,1.90812763743837e-09
"UBE2L6",1.38249063150742e-81,1.46974804496029,0.704,0.085,2.76498126301483e-78
"CTRL",2.72226735891588e-124,1.46668323801853,0.67,0.008,5.44453471783175e-121
"HES1",6.15340698283094e-244,1.46408868439982,0.87,0.162,1.23068139656619e-240
"ABI3BP",0,1.44407325826219,0.865,0.043,0
"NINJ1",6.70684193888801e-210,1.40874528836565,0.876,0.171,1.3413683877776e-206
"BHLHE40",5.50759711918417e-109,1.40215870867633,0.74,0.129,1.10151942383683e-105
