"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GLA",6.11710578024336e-11,0.873772476680859,0.874,0.968,1.22342115604867e-07
"LGALS3BP",0.0102232533501045,0.870462184114488,0.542,0.982,1
"SLC4A4",3.75032965206416e-102,0.87036429197842,0.804,0.104,7.50065930412832e-99
"HINT1",2.0354172008134e-42,0.868420943477185,0.967,0.993,4.07083440162679e-39
"AZU1",1.72097367032106e-50,0.868037856424854,0.484,0,3.44194734064213e-47
"SLC8A1",2.60131699643302e-38,0.865884326218291,0.858,0.964,5.20263399286604e-35
"SREBF1",7.69597682068072e-50,0.865275745746095,0.238,0.961,1.53919536413614e-46
"ID2",1.33084084468909e-44,0.864698253341085,0.879,0.978,2.66168168937817e-41
"LEPR",1.81063680757012e-11,0.848740744744859,0.838,0.961,3.62127361514023e-08
"AKR1C1",1.65400218439153e-70,0.844362783844668,0.793,0.186,3.30800436878306e-67
"MRPL34",5.86197630458584e-15,0.841874943332111,0.406,0.971,1.17239526091717e-11
"MMRN1",1.06597241756607e-124,0.83854215376247,0.196,0.961,2.13194483513214e-121
"YWHAQ",1.19472978950971e-18,0.836472338040755,0.854,0.996,2.38945957901941e-15
"CD8A",5.36005432051906e-07,0.836176964856469,0.727,0.961,0.00107201086410381
"ELF3",0.0373354922557918,0.829660686189859,0.606,0.556,1
"NDUFB1",0.0010099163514496,0.827162166648302,0.74,0.849,1
"EIF1",2.77140074843216e-51,0.822984459186375,0.992,1,5.54280149686432e-48
"DKK1",1.04386768421054e-31,0.815076551639505,0.821,0.961,2.08773536842109e-28
"BEX5",0.32281475273805,0.813443553209484,0.632,0.978,1
"PRCP",1.3373799907627e-37,0.811392854328977,0.401,0.971,2.6747599815254e-34
"FAM210B",2.82376367303333e-09,0.804500451234949,0.454,0.971,5.64752734606665e-06
"ARL4D",3.15002499423715e-55,0.799665862618364,0.285,0.961,6.3000499884743e-52
"TALDO1",0.03486013320754,0.798053908873295,0.572,0.864,1
"NUDT14",8.19595097211596e-09,0.791886597512812,0.329,0.38,1.63919019442319e-05
"COX6A1",9.41678464986961e-21,0.791453928972366,0.944,0.996,1.88335692997392e-17
"TYMS",0.150319025729574,0.791170993558002,0.858,0.961,1
"H2AFJ",0.000346238617944061,0.7909762167348,0.718,0.828,0.692477235888121
"ATF7IP2",0.0201377891928987,0.790564126224069,0.331,0.602,1
"PARK7",3.42811871098691e-12,0.788801538667961,0.876,0.993,6.85623742197382e-09
"RSAD2",2.14044255088583e-16,0.784607506810277,0.814,0.968,4.28088510177166e-13
"VKORC1",0.0014526681368236,0.782884925907273,0.686,0.806,1
"ID3",2.68248531136065e-57,0.779566090548282,0.929,0.978,5.3649706227213e-54
